Week_Start,Task,Hours_Before,Hours_After,Hours_Saved
2025-03-31,Traffic_Analysis,1.64,0.45,1.19
2025-03-31,Dashboard_Update,2.35,0.17,2.18
2025-03-31,Data_Cleaning,4.7,1.08,3.62
2025-03-31,Monthly_Summary,4.91,1.61,3.3
2025-04-07,Lead_Report,4.71,0.31,4.4
2025-04-07,Traffic_Analysis,3.39,0.99,2.4
2025-04-07,Dashboard_Update,4.35,0.51,3.84
2025-04-07,Data_Cleaning,3.76,0.55,3.21
2025-04-07,Monthly_Summary,2.45,0.19,2.26
2025-04-14,Lead_Report,3.55,1.08,2.47
2025-04-14,Traffic_Analysis,4.93,1.49,3.44
2025-04-14,Dashboard_Update,1.28,0.25,1.03
2025-04-14,Data_Cleaning,3.31,1.39,1.92
2025-04-14,Monthly_Summary,4.67,0.6,4.07
2025-04-21,Lead_Report,4.39,1.42,2.97
2025-04-21,Traffic_Analysis,2.86,0.74,2.12
2025-04-21,Dashboard_Update,4.57,1.37,3.2
2025-04-21,Data_Cleaning,2.21,0.21,2.0
2025-04-21,Monthly_Summary,4.17,0.92,3.25
